split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,teacher_p1_t2,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,model_name,p0,p1,pred,confidence,agree_label,error_type
train,ViSmish_00150,Em xin chúc mừng chị đã là khách hàng may mắn nhận tin vào đúng KHUNG GIỜ 10 PHÚT VÀNG của VINFAST ngày hôm nay. Chị được nhận ưu đãi mua 1 chiếc xe điện gấp gọn ADO A16 với giá ưu đãi 286.000 VNĐ (Miễn Phí ship). Chị chọn 1 (trả lời) đồng ý / ừ em đăng ký cho chị mua sản phẩm này với giá 286.000 VNĐ chị nhé,1,real,Khác,personal_number,0,0,Level 2 - Leet nặng,0.03759483,0,0.9984763,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.6012197,0.3987803,0,0.6012197,False,FN
train,ViSmish_00506,Thí sinh Trần Nguyễn Nam Hải thân mến . Kỳ tuyển sinh bổ sung  đợt 1: chỉ còn 05 ngày cho thí sinh xét tuyển nguyện vọng yêu thích vào ĐH FPT  hệ chính quy 2022 . Nếu bạn quan tâm vui lòng liên hệ fanpage:https://www.facebook.com/fptu.hcm hoặc holine 02873005588 để được tư vấn. trân trọng!,0,real,Khác,brandname,1,1,NONE,0.047328662,0,0.997538,True,1.0,char_textcnn_vanilla_kd_seed_2025,0.49942863,0.50057137,1,0.50057137,False,FP
train,ViSmish_02310,Su dung cuoc mien phi khong can nap S73qtEP ! Cuoc vào 3+ su kien (ty le tu 1.4). Hieu luc den 23.08 Kiem tra tai Cài dat tài khoan. https://slim.link/CbB DLS,1,real,Cờ bạc / Betting,personal_number,1,0,Level 0 - Formal,0.96846807,1,0.9989411,True,1.0,char_textcnn_vanilla_kd_seed_2025,0.66660404,0.33339596,0,0.66660404,False,FN
train,ViSmish_02825,Mời bạn tham gia  Webinar: 1001 sự thật về FPT. Hẹn gặp tại Zoom ID: 862 4470 8778 hoặc link zoom: https://us02web.zoom.us/j/86244708778 Pass: FPT. Hỗ trợ kỹ thuật tại: https://www.facebook.com/FPTU.HCM,0,real,Khác,brandname,1,0,NONE,0.9791282,1,0.99954575,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.2632972,0.7367028,1,0.7367028,False,FP
train,ViSmish_02851,"[TB] Tien ich Loi nhan thoai cua Viettel: Quy khach co loi nhan tu TB 0848836182 vao luc 08:09 27/03/2025. Voi noi dung: kính chào quý khách đây là cuộc gọi tự động từ ngân hàng FE Credit nhằm hỗ trợ thông tin khoản vay quý khách vui lòng nghe hết cuộc gọi và làm theo hướng dẫn để hệ thống ghi nhận cam kết thanh toán quý khách hiện có khoản vay quán hạn cao ngày nhất là 450 ngày tổng số tiền quá hạn cần thanh toán trong hôm nay là 6367474 đồng quý khách vui lòng thanh toán ngay hôm nay để tránh bị chuyển nhóm nợ cao hơn và ảnh hưởng đến việc vay vốn tại các tổ chức tín dụng nếu quý khách đã thanh toán vui lòng bấm phím một cam kết thanh toán ngay hôm nay vui lòng nhấn phím hai cần gặp tổng đài viên vui lòng nhấn phím ba kính chúc quý khách một ngày tốt lành xin cảm ơn và tạm biệt quý khách kính chào quý khách đây là cuộc gọi tự động từ ngân hàng... De nghe loi nhan thoai, vui long bam goi 106226 (mien phi).",1,real,Đòi nợ / Đe dọa,shortcode,0,1,Level 2 - Leet nặng,0.027944759,0,0.9991742,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.8588434,0.14115661,0,0.8588434,False,FN
train,ViSmish_03036,"DIEM NV2 KHONG TOT? BTEC FPT van con 30 co hoi cuoi, theo duoi NGANH HOC YEU THICH Nhan bang Anh Quoc, duoc gioi thieu viec lam btec.fpt.edu.vn/r/du 0329605828",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,0.9750285,1,0.9993445,True,1.0,char_textcnn_vanilla_kd_seed_2025,0.64412487,0.35587516,0,0.64412487,False,FN
train,ViSmish_03909,"(TPBank) Tu 01/07/22, TPBank dieu chinh DV thong bao Bien dong so du tai khoan - SMS Banking. Xem chi tiet cac goi DV tai websits hoac LH 19006036/1902585885",1,real,Giả mạo ngân hàng,personal_number,0,1,Level 0 - Formal,0.024952028,0,0.9993455,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.8133781,0.1866219,0,0.8133781,False,FN
train,ViSmish_04614,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",1,real,Giả mạo ngân hàng,personal_number,0,0,Level 2 - Leet nặng,0.17348976,0,0.9577987,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.75777483,0.24222516,0,0.75777483,False,FN
train,ViSmish_06303,"Ben EM nhan lam cac loai gp xe may,oto...chung minh thu, can cuoc, dang ki xe, bang cap 3 den dai hoc va tat ca giay khac;LH 0567-841-352 giao hang thu tien",1,real,Khác,personal_number,0,1,Level 0 - Formal,0.03624535,0,0.9985876,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.7557187,0.24428129,0,0.7557187,False,FN
train,ViSmish_06526,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,0.93395686,1,0.9950245,True,1.0,char_textcnn_vanilla_kd_seed_2025,0.6546059,0.34539407,0,0.6546059,False,FN
train,ViSmish_06698,"Thue bao cua quy khach sap bi tam khoa 2 chieu, do chua nang cap len sim 4G. vui long lam theo huong dan cua nhan vien, de duoc ho tro nang cap mien phi va tiep tuc su dung dich vu. Xin cam on!",1,real,Khác,personal_number,0,0,Level 0 - Formal,0.05012966,0,0.99722254,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.9047815,0.095218495,0,0.9047815,False,FN
train,ViSmish_07149,"E Ho Cho Cap Lai, lam Bang Lai Xe Cac Loai A,B,C,D..Cung Cap Cac Loai Giay To Khac CCCD,Bang DH,Cdang,TCap. GiaoHang va ThanhToan Tai Nha LH 0986557450 Rsmv",1,real,Khác,personal_number,0,1,Level 0 - Formal,0.9540013,1,0.99768054,True,1.0,char_textcnn_vanilla_kd_seed_2025,0.50197685,0.49802312,0,0.50197685,False,FN
train,ViSmish_07171,"Xin chuc mung TB0912345678 Da trung thuong ""1 IP14s"" trong chuong trinh du thuong cuoi nam Lien He: 1>9>0>0>1>9>9>5 de nhan giai. De nghi LH truoc ngay 28/01",1,real,Khác,personal_number,0,1,Level 4 - Mixed special characters,0.02798,0,0.9991721,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.71016026,0.28983977,0,0.71016026,False,FN
train,ViSmish_10097,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh",1,real,Giả mạo ngân hàng,personal_number,1,0,Level 2 - Leet nặng,0.13398829,0,0.9766217,False,0.3,char_textcnn_vanilla_kd_seed_2025,0.68071127,0.31928873,0,0.68071127,False,FN
