manual_reason,manual_note,variant_key,sample_id,error_type,n_seeds,seeds,eval_subset,category,sender_type,data_origin,suggested_reason,mean_prob_label1,content
,,A_real_only,phase1_02429,FN,3,"42,123,2025",real_test,Khác,shortcode,real,FN_obfuscation_or_leet,0.002097140406666667,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet
,,A_real_only,phase1_02442,FN,2,"42,123",real_test,Giả mạo ngân hàng,personal_number,real,FN_obfuscation_or_leet,0.20076754370000002,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh"
,,A_real_only,phase1_02445,FN,2,"42,2025",real_test,Khác,personal_number,real,FN_obfuscation_or_leet,0.2150656135,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]"
,,A_real_only,phase1_02534,FN,1,123,real_test,Giả mạo ngân hàng,brandname,real,FN_obfuscation_or_leet,0.01990879,Hãy nhận thưởng từ Ngân hàng Vietcombank với cơ hội nhận được số tiền lớn! Đăng ký tài khoản ngay tại https://vcb.vn-iy.life để nhận thưởng ngay! Trân trọng!
,,A_real_only,phase1_02412,FN,1,2025,real_test,Khác,personal_number,real,FN_obfuscation_or_leet,0.32745323,https://ww.facebook.com/CSKHduongdinhninh035/ Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng MVD: 1041 SĐT ĐẶT HÀNG: 0987654321
,,A_real_only,phase1_01845,FP,3,"42,123,2025",real_test,Khác,brandname,real,FP_legitimate_recruitment_like,0.9045003566666666,Chao Quy PH-HS da dang ky tham gia Hoi thao Hoi&Dap Tuyen sinh 2022 - Dai hoc FPT. Chuong trinh se bat dau luc 19:00 toi nay. Moi Quy PH-HS tham du bang duong link: https://us02web.zoom.us/j/84853187652 hoac Zoom ID: 848 5318 7652. Mat khau vao phong: FPT. Hotline (028) 7300 5588.
,,A_real_only,phase1_01145,FP,3,"42,123,2025",real_test,Khác,brandname,real,FP_legitimate_with_url,0.8304572800000001,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.
,,A_real_only,phase1_00810,FP,2,"42,2025",real_test,Ngân hàng thật,brandname,real,FP_official_brandlike,0.9923499149999999,"Cam on quy khach da mo dich vu ngan hang dien tu VPBank. Luu y KHONG tiet lo mat khau khoi tao cho bat ky ai, bao gom ca Ngan hang. Mat khau khoi tao la xbmB7qab"
,,A_real_only,phase1_02077,FP,1,123,real_test,Khác,brandname,real,FP_legitimate_promotion_reward,0.9941004,"Moi ban tao tai khoan S-Student de nhan dac quyen: giam them den 10%, tro gia den 5tr khi len doi va giam phi giao hang. Tao tai khoan ngay: https://go.cps.onl/5n7dsskw"
,,A_real_only,phase1_00942,FP,1,123,real_test,Khác,brandname,real,FP_official_brandlike,0.9744834,"Nhan dip Tet Nham Dan,BLD va Ban Dai dien CMHS truong THPT Nguyen Cong Tru kinh chuc Quy PHHS va toan the gia dinh suc khoe,hanh phuc,binh an,van su nhu y"
,,A_real_only,phase1_01955,FP,1,2025,real_test,Khác,shortcode,real,FP_official_brandlike,0.9054896,"[KHAO SAT] Quy khach co dong y voi y kien ""Nhan vien Cua hang Viettel da ho tro tich cuc de giup Quy khach giai quyet van de gap phai mot cach de dang"" theo thang diem tu 1 den 7 (1-3: Khong dong y; 4: Binh thuong; 5-7: Dong y) bang cach nhap so diem va phan hoi lai tin nhan nay (mien phi)."
,,B1_class_weight_default,phase1_02429,FN,3,"42,123,2025",real_test,Khác,shortcode,real,FN_obfuscation_or_leet,0.0041935235,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet
,,B1_class_weight_default,phase1_02445,FN,3,"42,123,2025",real_test,Khác,personal_number,real,FN_obfuscation_or_leet,0.0760556555,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]"
,,B1_class_weight_default,phase1_02442,FN,2,"42,123",real_test,Giả mạo ngân hàng,personal_number,real,FN_obfuscation_or_leet,0.0203023878,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh"
,,B1_class_weight_default,phase1_01145,FP,3,"42,123,2025",real_test,Khác,brandname,real,FP_legitimate_with_url,0.9313394466666667,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.
,,B1_class_weight_default,phase1_01845,FP,2,"42,2025",real_test,Khác,brandname,real,FP_legitimate_recruitment_like,0.9930390499999999,Chao Quy PH-HS da dang ky tham gia Hoi thao Hoi&Dap Tuyen sinh 2022 - Dai hoc FPT. Chuong trinh se bat dau luc 19:00 toi nay. Moi Quy PH-HS tham du bang duong link: https://us02web.zoom.us/j/84853187652 hoac Zoom ID: 848 5318 7652. Mat khau vao phong: FPT. Hotline (028) 7300 5588.
,,B1_class_weight_default,phase1_02077,FP,1,123,real_test,Khác,brandname,real,FP_legitimate_promotion_reward,0.9986356,"Moi ban tao tai khoan S-Student de nhan dac quyen: giam them den 10%, tro gia den 5tr khi len doi va giam phi giao hang. Tao tai khoan ngay: https://go.cps.onl/5n7dsskw"
,,B1_class_weight_default,phase1_02060,FP,1,42,real_test,Viễn thông,brandname,real,FP_legitimate_promotion_reward,0.9983059,DATA KHONG GIOI HAN - MUA 1 TANG 1: Chi voi 10.000d/ngay! Dang ky goi ProMax 1 ngay bang cach soan DK DU1 gui 123 va huong ngay uu dai MIEN PHI CHU KY GIA HAN TIEP THEO. Khuyen mai ap dung 1 lan cho thue bao dang ky lan dau trong thang. CTLH: 0922789789 (0d).
,,B1_class_weight_default,phase1_00810,FP,1,42,real_test,Ngân hàng thật,brandname,real,FP_official_brandlike,0.9770007,"Cam on quy khach da mo dich vu ngan hang dien tu VPBank. Luu y KHONG tiet lo mat khau khoi tao cho bat ky ai, bao gom ca Ngan hang. Mat khau khoi tao la xbmB7qab"
,,B1_class_weight_default,phase1_00942,FP,1,123,real_test,Khác,brandname,real,FP_official_brandlike,0.954393,"Nhan dip Tet Nham Dan,BLD va Ban Dai dien CMHS truong THPT Nguyen Cong Tru kinh chuc Quy PHHS va toan the gia dinh suc khoe,hanh phuc,binh an,van su nhu y"
,,B1_class_weight_default,phase1_00803,FP,1,2025,real_test,Ngân hàng thật,brandname,real,FP_legitimate_url_and_phone,0.8311431,(TPBank) QK vui long truy cap https://evocard.tpb.vn/UiK3Qrnc de hoan tat dang ky mo the TPBank EVO va tan huong uu dai khong gioi han. LH 1900585885
,,B1_class_weight_default,phase1_01017,FP,1,2025,real_test,Dịch vụ công thật,brandname,real,FP_official_brandlike,0.7146778,Ban da dang ky giao dich dien tu BHXH thanh cong. Tai khoan: 7936728646 - Mat khau: 526669
,,B1_class_weight_default,phase1_01801,FP,1,2025,real_test,Khác,brandname,real,FP_legitimate_recruitment_like,0.61503005,"Cam on ban da quan tam den DH Cong nghe Mien Dong (MIT), truong tiep tuc xet tuyen NVBS den 10/10. Ban Dang ky online tai dangky.mit.vn . DT/Zalo: 0981767568"
,,B2_class_weight_threshold,phase1_02429,FN,3,"42,123,2025",real_test,Khác,shortcode,real,FN_obfuscation_or_leet,0.0041935235,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet
,,B2_class_weight_threshold,phase1_02445,FN,3,"42,123,2025",real_test,Khác,personal_number,real,FN_obfuscation_or_leet,0.0760556555,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]"
,,B2_class_weight_threshold,phase1_02442,FN,2,"42,123",real_test,Giả mạo ngân hàng,personal_number,real,FN_obfuscation_or_leet,0.0203023878,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh"
,,B2_class_weight_threshold,phase1_01145,FP,3,"42,123,2025",real_test,Khác,brandname,real,FP_legitimate_with_url,0.9313394466666667,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.
,,B2_class_weight_threshold,phase1_01845,FP,2,"42,2025",real_test,Khác,brandname,real,FP_legitimate_recruitment_like,0.9930390499999999,Chao Quy PH-HS da dang ky tham gia Hoi thao Hoi&Dap Tuyen sinh 2022 - Dai hoc FPT. Chuong trinh se bat dau luc 19:00 toi nay. Moi Quy PH-HS tham du bang duong link: https://us02web.zoom.us/j/84853187652 hoac Zoom ID: 848 5318 7652. Mat khau vao phong: FPT. Hotline (028) 7300 5588.
,,B2_class_weight_threshold,phase1_02060,FP,2,"42,2025",real_test,Viễn thông,brandname,real,FP_legitimate_promotion_reward,0.72944144,DATA KHONG GIOI HAN - MUA 1 TANG 1: Chi voi 10.000d/ngay! Dang ky goi ProMax 1 ngay bang cach soan DK DU1 gui 123 va huong ngay uu dai MIEN PHI CHU KY GIA HAN TIEP THEO. Khuyen mai ap dung 1 lan cho thue bao dang ky lan dau trong thang. CTLH: 0922789789 (0d).
,,B2_class_weight_threshold,phase1_02077,FP,2,"42,123",real_test,Khác,brandname,real,FP_legitimate_promotion_reward,0.60268472,"Moi ban tao tai khoan S-Student de nhan dac quyen: giam them den 10%, tro gia den 5tr khi len doi va giam phi giao hang. Tao tai khoan ngay: https://go.cps.onl/5n7dsskw"
,,B2_class_weight_threshold,phase1_00942,FP,2,"42,123",real_test,Khác,brandname,real,FP_official_brandlike,0.5148186650000001,"Nhan dip Tet Nham Dan,BLD va Ban Dai dien CMHS truong THPT Nguyen Cong Tru kinh chuc Quy PHHS va toan the gia dinh suc khoe,hanh phuc,binh an,van su nhu y"
