setup,seed,sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id,eval_subset,true_label,pred_label,prob_label0,prob_label1,is_correct,error_type,source_error_file,variant_key,threshold,variant,case_id,suggested_reason
A_real_only,123,phase1_02429,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet,1,0.0,0.0,shortcode,Khác,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,107.0,real_test,1,0,0.99942744,0.0005725466,False,FN,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_02429,FN_obfuscation_or_leet
A_real_only,123,phase1_01845,Chao Quy PH-HS da dang ky tham gia Hoi thao Hoi&Dap Tuyen sinh 2022 - Dai hoc FPT. Chuong trinh se bat dau luc 19:00 toi nay. Moi Quy PH-HS tham du bang duong link: https://us02web.zoom.us/j/84853187652 hoac Zoom ID: 848 5318 7652. Mat khau vao phong: FPT. Hotline (028) 7300 5588.,0,1.0,1.0,brandname,Khác,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1849.0,real_test,0,1,0.15746048,0.8425395,False,FP,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_01845,FP_legitimate_recruitment_like
A_real_only,123,phase1_02442,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh",1,1.0,0.0,personal_number,Giả mạo ngân hàng,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,120.0,real_test,1,0,0.5994851,0.40051487,False,FN,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_02442,FN_obfuscation_or_leet
A_real_only,123,phase1_02534,Hãy nhận thưởng từ Ngân hàng Vietcombank với cơ hội nhận được số tiền lớn! Đăng ký tài khoản ngay tại https://vcb.vn-iy.life để nhận thưởng ngay! Trân trọng!,1,1.0,0.0,brandname,Giả mạo ngân hàng,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,213.0,real_test,1,0,0.9800913,0.01990879,False,FN,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_02534,FN_obfuscation_or_leet
A_real_only,123,phase1_00942,"Nhan dip Tet Nham Dan,BLD va Ban Dai dien CMHS truong THPT Nguyen Cong Tru kinh chuc Quy PHHS va toan the gia dinh suc khoe,hanh phuc,binh an,van su nhu y",0,0.0,0.0,brandname,Khác,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,943.0,real_test,0,1,0.025516601,0.9744834,False,FP,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_00942,FP_official_brandlike
A_real_only,123,phase1_02077,"Moi ban tao tai khoan S-Student de nhan dac quyen: giam them den 10%, tro gia den 5tr khi len doi va giam phi giao hang. Tao tai khoan ngay: https://go.cps.onl/5n7dsskw",0,1.0,0.0,brandname,Khác,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,2081.0,real_test,0,1,0.005899603,0.9941004,False,FP,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_02077,FP_legitimate_promotion_reward
A_real_only,123,phase1_01145,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.,0,1.0,0.0,brandname,Khác,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1146.0,real_test,0,1,0.36254594,0.6374541,False,FP,setup_results\setup_a_results\setup_a_seed_123_real_test_errors.csv,A_real_only,,,phase1_01145,FP_legitimate_with_url
A_real_only,2025,phase1_02429,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet,1,0.0,0.0,shortcode,Khác,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,107.0,real_test,1,0,0.9947595,0.005240449,False,FN,setup_results\setup_a_results\setup_a_seed_2025_real_test_errors.csv,A_real_only,,,phase1_02429,FN_obfuscation_or_leet
A_real_only,2025,phase1_01845,Chao Quy PH-HS da dang ky tham gia Hoi thao Hoi&Dap Tuyen sinh 2022 - Dai hoc FPT. Chuong trinh se bat dau luc 19:00 toi nay. Moi Quy PH-HS tham du bang duong link: https://us02web.zoom.us/j/84853187652 hoac Zoom ID: 848 5318 7652. Mat khau vao phong: FPT. Hotline (028) 7300 5588.,0,1.0,1.0,brandname,Khác,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1849.0,real_test,0,1,0.10194652,0.89805347,False,FP,setup_results\setup_a_results\setup_a_seed_2025_real_test_errors.csv,A_real_only,,,phase1_01845,FP_legitimate_recruitment_like
A_real_only,2025,phase1_02445,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]",1,0.0,0.0,personal_number,Khác,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,123.0,real_test,1,0,0.578597,0.42140296,False,FN,setup_results\setup_a_results\setup_a_seed_2025_real_test_errors.csv,A_real_only,,,phase1_02445,FN_obfuscation_or_leet
