sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id,external_source_type,text_variant_type,hard_case_type,review_status,original,normalized
vilexnorm_hardneg_00002,"Thế nào đc 9.5 thật đó đỉnh vãi ò, đã v mk điểm cao nhất lớp chứ đc cô thưởng 300k",0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,10,vilexnorm_hard_negative,abbreviation;slang,money_like;sensitive_review,manual_accepted,"Thế nào đc 9.5 thật đó đỉnh vãi ò, đã v mk điểm cao nhất lớp chứ đc cô thưởng 300k","Thế nào đc 9.5 thật đó đỉnh vãi ò, đã vậy mình điểm cao nhất lớp chứ được cô thưởng 300k"
vilexnorm_hardneg_00003,"bạn mình bị ồi, nhờ CA thì phải chung nhìu tiền.",0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,18,vilexnorm_hard_negative,standard_or_unknown,authority_like,manual_accepted,"bạn mình bị ồi, nhờ CA thì phải chung nhìu tiền.","bạn mình bị rồi, nhờ công an thì phải chung nhiều tiền."
vilexnorm_hardneg_00004,Cho lên phường cmn đi.,0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,26,vilexnorm_hard_negative,standard_or_unknown,sensitive_review,manual_accepted,Cho lên phường cmn đi.,Cho lên phường con mẹ nó đi.
vilexnorm_hardneg_00005,tâm lí tội phạm đây r :))),0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,36,vilexnorm_hard_negative,standard_or_unknown,sensitive_review,manual_accepted,tâm lí tội phạm đây r :))),tâm lí tội phạm đây rồi :)))
vilexnorm_hardneg_00006,Chắc thầy lại thích xem món chym nướng rồi,0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,38,vilexnorm_hard_negative,standard_or_unknown,sensitive_review,manual_accepted,Chắc thầy lại thích xem món chym nướng rồi,Chắc thầy lại thích xem món chim nướng rồi
vilexnorm_hardneg_00007,"các b cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ đc bao nhiêu việc",0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,63,vilexnorm_hard_negative,abbreviation,sensitive_review,manual_accepted,"các b cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ đc bao nhiêu việc","các bạn cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ được bao nhiêu việc"
vilexnorm_hardneg_00008,Ko cho vay thì ngại cho vay oy tới lúc đòi thì sợ giận mà ko đòi ngta cg ko có suy nghĩ muốn trả mà kb lm tn,0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,75,vilexnorm_hard_negative,teencode;abbreviation,finance_like,manual_accepted,Ko cho vay thì ngại cho vay oy tới lúc đòi thì sợ giận mà ko đòi ngta cg ko có suy nghĩ muốn trả mà kb lm tn,Không cho vay thì ngại cho vay rồi tới lúc đòi thì sợ giận mà không đòi người ta cũng không có suy nghĩ muốn trả mà kb làm tn
vilexnorm_hardneg_00010,Ng hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và r có nhiều ng mừng lại 5trăm ta nói cạn cmnl ahaaa.,0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,94,vilexnorm_hard_negative,abbreviation,sensitive_review,manual_accepted,Ng hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và r có nhiều ng mừng lại 5trăm ta nói cạn cmnl ahaaa.,Người hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và rồi có nhiều người mừng lại 5trăm ta nói cạn cmnl ahaaa.
vilexnorm_hardneg_00011,tại nó không yêu mày đó chứ cung đ nào chả như nhao =))),0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,106,vilexnorm_hard_negative,standard_or_unknown,sensitive_review,manual_accepted,tại nó không yêu mày đó chứ cung đ nào chả như nhao =))),tại nó không yêu mày đó chứ cung đéo nào chả như nhau =)))
vilexnorm_hardneg_00012,May ghê t hướng nội nhưng k có tiền cho ng ta vay,0,0,0,personal_number,P2P hard negative,NONE,external_curated,vilexnorm,data/external/vilexnorm/raw/train.csv,129,vilexnorm_hard_negative,teencode;abbreviation,finance_like,manual_accepted,May ghê t hướng nội nhưng k có tiền cho ng ta vay,May ghê tôi hướng nội nhưng không có tiền cho người ta vay
